"File"	"Plate_Type"	"Position"	"Setup_Time"	"Well"	"mu"	"lambda"	"A"	"AUC"	"mu_CI95_low"	"lambda_CI95_low"	"A_CI95_low"	"AUC_CI95_low"	"mu_CI95_high"	"lambda_CI95_high"	"A_CI95_high"	"AUC_CI95_high"	"Aggr_software"	"Aggr_version"	"Aggr_method"	"Discretized"	"Disc_software"	"Disc_version"	"Disc_method"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C02"	3.37065043264232	-0.997559653885536	30.7643363751665	2617.3038031767	2.14064383197804	13.9984192881387	30.5720269692786	2590.54017731907	7.72750651092489	114.487850265704	32.6610670274766	2633.91094343965	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C03"	19.7125689725173	0.485347643721413	278.612570035677	22855.5353762022	18.5110097845783	NA	277.654066425229	22691.5423827625	24.2262082177212	NA	280.503334216701	22950.4250216217	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C04"	2.87826835682426	-3.89613207963401	40.289477915831	3361.27314548607	0.823627656962288	13.6601082552826	41.0574049786813	3330.63739802133	14.2579519567779	133.377750603585	43.8190035866684	3377.74007829194	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C05"	22.1900408684099	0.973275915916283	268.608523845763	22174.9451541317	21.7684493002418	0.912345772424625	267.943853216141	22063.5341085531	25.6222912732601	2.48845559288606	270.233359432572	22224.8355385007	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C06"	5.00029735480502	-0.336620217352578	36.4190328707351	3168.5883776078	4.31310409593016	24.0445271776635	36.8174614285058	3138.76967865814	12.2392370820276	126.493489641166	38.9529119665132	3185.39427348811	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C07"	9.31541438416487	0.291139796005922	46.4219880101527	4071.26485866715	9.49005984384068	-51.9654574843706	46.5778546458162	4032.25511452973	14.580539294454	126.252558131293	49.5236682540009	4089.51950317448	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C08"	25.806827688118	1.1616710826034	267.793289616606	21218.9611795362	23.3656965994732	-0.817113623962908	263.088348520787	21056.8690353261	33.5442525045144	2.84698742005141	272.505617103696	21304.3634033073	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C09"	11.4307859359702	-0.236941494580703	298.294837443789	21729.3469794951	13.5513240729995	-3.97079822975284	296.540519510489	21605.0562241013	19.0372800809343	9.04536835899057	301.887903718033	21793.2599129672	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C10"	5.36098043311176	-0.725582144477537	33.0080253339336	2917.01127454486	4.54044067607449	-2.35508536488338	33.5845211581064	2886.17681959876	16.9824619247624	146.498979868743	38.562540186548	2933.69289651398	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C11"	6.0434647403455	-1.0433819379782	42.2913481146618	3556.54739437776	4.72501130385667	49.8824165507682	42.6030757115799	3505.05549162524	23.9624334255909	122.332374501716	51.0523587437525	3589.03314703639	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"C12"	8.38160374108757	-1.01952181161417	50.6048377466074	4469.28778715001	7.95922559593152	27.6866229551197	52.5301205622634	4422.44760109441	22.291023620154	137.491348527054	57.134339761944	4502.06158231849	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D01"	32.8141456619922	0.57476296331633	283.01227175459	25068.1591832044	29.3507669710872	-0.48863275360785	282.823758524339	24884.5148672071	36.9523519809633	2.11589878264135	284.82331376106	25174.9873191541	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
